surah_id,surah_name,total_ayahs,new_aligned,old_aligned,aligned_diff,new_rate,old_rate,rate_diff,new_avg_sim,old_avg_sim,sim_diff
1,الفاتحة,7,7,7,0,100.0,100.0,0.0,0.986,0.986,0.0
2,البقرة,286,286,221,65,100.0,77.27,22.73,0.866,0.919,-0.053
3,آل عمران,200,200,200,0,100.0,100.0,0.0,0.937,0.939,-0.002
4,النساء,176,176,176,0,100.0,100.0,0.0,0.893,0.913,-0.02
5,المائدة,120,120,120,0,100.0,100.0,0.0,0.839,0.894,-0.055
6,الأنعام,165,165,165,0,100.0,100.0,0.0,0.929,0.915,0.014
7,الأعراف,206,206,206,0,100.0,100.0,0.0,0.932,0.946,-0.014
8,الأنفال,75,75,75,0,100.0,100.0,0.0,0.93,0.944,-0.014
9,التوبة,129,129,129,0,100.0,100.0,0.0,0.902,0.921,-0.019
10,يونس,109,109,109,0,100.0,100.0,0.0,0.931,0.969,-0.038
11,هود,123,123,123,0,100.0,100.0,0.0,0.954,0.951,0.003
12,يوسف,111,111,111,0,100.0,100.0,0.0,0.93,0.954,-0.024
13,الرعد,43,43,43,0,100.0,100.0,0.0,0.872,0.948,-0.076
14,إبراهيم,52,52,52,0,100.0,100.0,0.0,0.943,0.905,0.038
15,الحجر,99,99,99,0,100.0,100.0,0.0,0.984,0.983,0.001
16,النحل,128,128,128,0,100.0,100.0,0.0,0.939,0.949,-0.01
17,الإسراء,111,111,111,0,100.0,100.0,0.0,0.962,0.968,-0.006
18,الكهف,110,110,110,0,100.0,100.0,0.0,0.947,0.975,-0.028
19,مريم,98,98,98,0,100.0,100.0,0.0,0.971,0.964,0.007
20,طه,135,135,135,0,100.0,100.0,0.0,0.96,0.977,-0.017
21,الأنبياء,112,112,112,0,100.0,100.0,0.0,0.971,0.96,0.011
22,الحج,78,78,78,0,100.0,100.0,0.0,0.942,0.942,0.0
23,المؤمنون,118,118,118,0,100.0,100.0,0.0,0.967,0.972,-0.005
24,النور,64,64,64,0,100.0,100.0,0.0,0.877,0.921,-0.044
25,الفرقان,77,77,77,0,100.0,100.0,0.0,0.979,0.979,0.0
26,الشعراء,227,227,227,0,100.0,100.0,0.0,0.987,0.986,0.001
27,النمل,93,93,30,63,100.0,32.26,67.74,0.931,0.948,-0.017
28,القصص,88,88,88,0,100.0,100.0,0.0,0.943,0.937,0.006
29,العنكبوت,69,69,69,0,100.0,100.0,0.0,0.953,0.955,-0.002
30,الروم,60,60,60,0,100.0,100.0,0.0,0.962,0.961,0.001
31,لقمان,34,34,34,0,100.0,100.0,0.0,0.943,0.963,-0.02
32,السجدة,30,30,30,0,100.0,100.0,0.0,0.967,0.979,-0.012
33,الأحزاب,73,73,73,0,100.0,100.0,0.0,0.9,0.924,-0.024
34,سبأ,54,54,54,0,100.0,100.0,0.0,0.941,0.956,-0.015
35,فاطر,45,45,21,24,100.0,46.67,53.33,0.903,0.876,0.027
36,يس,83,83,83,0,100.0,100.0,0.0,0.983,0.984,-0.001
37,الصافات,182,182,182,0,100.0,100.0,0.0,0.981,0.981,0.0
38,ص,88,88,88,0,100.0,100.0,0.0,0.98,0.979,0.001
39,الزمر,75,75,75,0,100.0,100.0,0.0,0.955,0.946,0.009
40,غافر,85,85,85,0,100.0,100.0,0.0,0.931,0.966,-0.035
41,فصلت,54,54,54,0,100.0,100.0,0.0,0.957,0.942,0.015
42,الشورى,53,53,7,46,100.0,13.21,86.79,0.888,0.261,0.627
43,الزخرف,89,89,89,0,100.0,100.0,0.0,0.974,0.978,-0.004
44,الدخان,59,59,59,0,100.0,100.0,0.0,0.986,0.984,0.002
45,الجاثية,37,37,37,0,100.0,100.0,0.0,0.958,0.965,-0.007
46,الأحقاف,35,35,35,0,100.0,100.0,0.0,0.897,0.955,-0.058
47,محمد,38,38,38,0,100.0,100.0,0.0,0.913,0.941,-0.028
48,الفتح,29,29,29,0,100.0,100.0,0.0,0.855,0.939,-0.084
49,الحجرات,18,18,18,0,100.0,100.0,0.0,0.935,0.908,0.027
50,ق,45,45,45,0,100.0,100.0,0.0,0.987,0.974,0.013
51,الذاريات,60,60,60,0,100.0,100.0,0.0,0.984,0.984,0.0
52,الطور,49,49,49,0,100.0,100.0,0.0,0.984,0.982,0.002
53,النجم,62,62,62,0,100.0,100.0,0.0,0.974,0.981,-0.007
54,القمر,55,55,55,0,100.0,100.0,0.0,0.991,0.99,0.001
55,الرحمن,78,78,78,0,100.0,100.0,0.0,0.982,0.982,0.0
56,الواقعة,96,96,96,0,100.0,100.0,0.0,0.981,0.982,-0.001
57,الحديد,29,29,29,0,100.0,100.0,0.0,0.849,0.945,-0.096
58,المجادلة,22,22,22,0,100.0,100.0,0.0,0.875,0.877,-0.002
59,الحشر,24,24,24,0,100.0,100.0,0.0,0.856,0.877,-0.021
60,الممتحنة,13,13,13,0,100.0,100.0,0.0,0.769,0.866,-0.097
61,الصف,14,14,14,0,100.0,100.0,0.0,0.942,0.95,-0.008
62,الجمعة,11,11,11,0,100.0,100.0,0.0,0.959,0.941,0.018
63,المنافقون,11,11,11,0,100.0,100.0,0.0,0.982,0.956,0.026
64,التغابن,18,18,18,0,100.0,100.0,0.0,0.978,0.963,0.015
65,الطلاق,12,12,12,0,100.0,100.0,0.0,0.801,0.815,-0.014
66,التحريم,12,12,12,0,100.0,100.0,0.0,0.771,0.929,-0.158
67,الملك,30,30,30,0,100.0,100.0,0.0,0.988,0.974,0.014
68,القلم,52,52,52,0,100.0,100.0,0.0,0.989,0.989,0.0
69,الحاقة,52,52,52,0,100.0,100.0,0.0,0.983,0.986,-0.003
70,المعارج,44,44,44,0,100.0,100.0,0.0,0.981,0.972,0.009
71,نوح,28,28,28,0,100.0,100.0,0.0,0.986,0.99,-0.004
72,الجن,28,28,28,0,100.0,100.0,0.0,0.983,0.982,0.001
73,المزمل,20,20,20,0,100.0,100.0,0.0,0.949,0.949,0.0
74,المدثر,56,56,10,46,100.0,17.86,82.14,0.9,0.896,0.004
75,القيامة,40,40,40,0,100.0,100.0,0.0,0.979,0.979,0.0
76,الإنسان,31,31,31,0,100.0,100.0,0.0,0.985,0.968,0.017
77,المرسلات,50,50,50,0,100.0,100.0,0.0,0.985,0.985,0.0
78,النبأ,40,40,40,0,100.0,100.0,0.0,0.983,0.983,0.0
79,النازعات,46,46,46,0,100.0,100.0,0.0,0.967,0.962,0.005
80,عبس,42,42,42,0,100.0,100.0,0.0,0.982,0.982,0.0
81,التكوير,29,29,29,0,100.0,100.0,0.0,0.993,0.993,0.0
82,الانفطار,19,19,19,0,100.0,100.0,0.0,0.984,0.97,0.014
83,المطففين,36,36,36,0,100.0,100.0,0.0,0.984,0.984,0.0
84,الانشقاق,25,25,25,0,100.0,100.0,0.0,0.984,0.984,0.0
85,البروج,22,22,22,0,100.0,100.0,0.0,0.99,0.99,0.0
86,الطارق,17,17,17,0,100.0,100.0,0.0,0.988,0.988,0.0
87,الأعلى,19,19,19,0,100.0,100.0,0.0,0.992,0.992,0.0
88,الغاشية,26,26,26,0,100.0,100.0,0.0,0.992,0.992,0.0
89,الفجر,30,30,30,0,100.0,100.0,0.0,0.986,0.984,0.002
90,البلد,20,20,20,0,100.0,100.0,0.0,0.986,0.986,0.0
91,الشمس,15,15,15,0,100.0,100.0,0.0,0.943,0.943,0.0
92,الليل,21,21,21,0,100.0,100.0,0.0,0.99,0.99,0.0
93,الضحى,11,11,11,0,100.0,100.0,0.0,0.994,0.994,0.0
94,الشرح,8,8,8,0,100.0,100.0,0.0,1.0,1.0,0.0
95,التين,8,8,8,0,100.0,100.0,0.0,0.985,0.985,0.0
96,العلق,19,19,19,0,100.0,100.0,0.0,0.978,0.978,0.0
97,القدر,5,5,5,0,100.0,100.0,0.0,0.98,0.98,0.0
98,البينة,8,8,8,0,100.0,100.0,0.0,0.954,0.954,0.0
99,الزلزلة,8,8,8,0,100.0,100.0,0.0,0.99,0.99,0.0
100,العاديات,11,11,11,0,100.0,100.0,0.0,0.971,0.971,0.0
101,القارعة,11,11,11,0,100.0,100.0,0.0,0.976,0.976,0.0
102,التكاثر,8,8,8,0,100.0,100.0,0.0,0.976,0.976,0.0
103,العصر,3,3,3,0,100.0,100.0,0.0,0.982,0.982,0.0
104,الهمزة,9,9,9,0,100.0,100.0,0.0,0.977,0.977,0.0
105,الفيل,5,5,5,0,100.0,100.0,0.0,0.997,0.997,0.0
106,قريش,4,4,4,0,100.0,100.0,0.0,0.97,0.97,0.0
107,الماعون,7,7,5,2,100.0,71.43,28.57,0.994,0.776,0.218
108,الكوثر,3,3,3,0,100.0,100.0,0.0,0.99,0.99,0.0
109,الكافرون,6,6,6,0,100.0,100.0,0.0,0.978,0.978,0.0
110,النصر,3,3,3,0,100.0,100.0,0.0,0.995,0.915,0.08
111,المسد,5,5,5,0,100.0,100.0,0.0,0.991,0.991,0.0
112,الإخلاص,4,4,4,0,100.0,100.0,0.0,0.994,0.994,0.0
113,الفلق,5,5,5,0,100.0,100.0,0.0,0.991,0.991,0.0
114,الناس,6,6,6,0,100.0,100.0,0.0,1.0,1.0,0.0
